Window,Test Year,Algorithm,Selected OOS Sharpe,Net Sharpe,Net Ann Return,Max Drawdown
1,2018,AOBL-SOS (Proposed),0.046,0.046,0.84%,-21.27%
1,2018,SOS (Baseline),-0.241,-0.241,-4.30%,-23.07%
1,2018,GA,-0.047,-0.047,-0.97%,-21.13%
1,2018,PSO,-0.200,-0.200,-3.35%,-20.84%
1,2018,DE,-0.502,-0.502,-9.26%,-24.64%
1,2018,Ledoit-Wolf,-0.326,-0.326,-5.92%,-24.08%
1,2018,Max Sharpe,-0.330,-0.330,-5.99%,-24.09%
1,2018,Min Variance,-0.103,-0.103,-1.31%,-11.51%
1,2018,Equal Weight (1/N),-0.142,-0.142,-2.41%,-18.66%
2,2019,AOBL-SOS (Proposed),2.822,2.822,32.66%,-4.44%
2,2019,SOS (Baseline),2.341,2.341,28.34%,-4.84%
2,2019,GA,2.469,2.469,30.16%,-5.74%
2,2019,PSO,2.420,2.420,28.13%,-4.40%
2,2019,DE,2.581,2.581,28.58%,-4.54%
2,2019,Ledoit-Wolf,2.712,2.712,30.63%,-4.53%
2,2019,Max Sharpe,2.703,2.703,30.48%,-4.55%
2,2019,Min Variance,3.030,3.030,27.66%,-3.13%
2,2019,Equal Weight (1/N),2.690,2.690,34.96%,-6.17%
3,2020,AOBL-SOS (Proposed),1.358,1.358,48.18%,-34.28%
3,2020,SOS (Baseline),1.358,1.358,47.99%,-33.96%
3,2020,GA,1.307,1.307,45.48%,-32.11%
3,2020,PSO,1.401,1.401,51.48%,-32.21%
3,2020,DE,0.870,0.870,31.11%,-33.11%
3,2020,Ledoit-Wolf,0.623,0.623,21.14%,-31.07%
3,2020,Max Sharpe,0.619,0.619,21.04%,-31.13%
3,2020,Min Variance,0.072,0.072,2.29%,-31.88%
3,2020,Equal Weight (1/N),0.583,0.583,20.51%,-34.89%
4,2021,AOBL-SOS (Proposed),1.758,1.758,30.19%,-14.22%
4,2021,SOS (Baseline),1.735,1.735,28.18%,-11.13%
4,2021,GA,1.751,1.751,27.23%,-7.53%
4,2021,PSO,1.724,1.724,29.99%,-15.18%
4,2021,DE,1.909,1.909,29.66%,-12.16%
4,2021,Ledoit-Wolf,1.784,1.784,31.71%,-14.65%
4,2021,Max Sharpe,1.783,1.783,31.63%,-14.64%
4,2021,Min Variance,2.030,2.030,19.60%,-5.40%
4,2021,Equal Weight (1/N),2.076,2.076,27.27%,-4.93%
5,2022,AOBL-SOS (Proposed),-1.117,-1.117,-27.61%,-30.83%
5,2022,SOS (Baseline),-1.096,-1.096,-28.59%,-30.04%
5,2022,GA,-0.928,-0.928,-24.94%,-29.21%
5,2022,PSO,-0.880,-0.880,-21.98%,-27.82%
5,2022,DE,-0.973,-0.973,-25.53%,-28.17%
5,2022,Ledoit-Wolf,-1.002,-1.002,-27.01%,-30.38%
5,2022,Max Sharpe,-0.998,-0.998,-26.92%,-30.33%
5,2022,Min Variance,-0.389,-0.389,-6.25%,-18.62%
5,2022,Equal Weight (1/N),-0.519,-0.519,-11.12%,-20.55%
6,2023,AOBL-SOS (Proposed),2.095,2.095,33.74%,-9.07%
6,2023,SOS (Baseline),2.510,2.510,38.26%,-9.03%
6,2023,GA,1.992,1.992,29.63%,-10.08%
6,2023,PSO,1.318,1.318,19.05%,-9.25%
6,2023,DE,1.631,1.631,22.75%,-8.62%
6,2023,Ledoit-Wolf,1.699,1.699,27.02%,-11.26%
6,2023,Max Sharpe,1.683,1.683,26.73%,-11.28%
6,2023,Min Variance,0.158,0.158,1.62%,-8.29%
6,2023,Equal Weight (1/N),1.580,1.580,20.49%,-10.50%
7,2024,AOBL-SOS (Proposed),2.345,2.345,39.28%,-8.92%
7,2024,SOS (Baseline),2.506,2.506,44.72%,-9.36%
7,2024,GA,1.853,1.853,27.93%,-8.33%
7,2024,PSO,2.467,2.467,42.62%,-8.82%
7,2024,DE,2.243,2.243,35.18%,-8.35%
7,2024,Ledoit-Wolf,2.588,2.588,49.33%,-9.65%
7,2024,Max Sharpe,2.590,2.590,49.26%,-9.65%
7,2024,Min Variance,1.475,1.475,14.39%,-5.94%
7,2024,Equal Weight (1/N),1.104,1.104,12.03%,-6.56%
