lambda,K,OOS_Sharpe
0.0,15,0.427558955165673
0.0,20,0.46098048795442603
0.0,25,0.5864740759524472
0.0,30,0.5828752441829033
0.0,35,0.8013641662806287
0.5,15,0.716977995739461
0.5,20,0.4465888672995427
0.5,25,0.6210031643088637
0.5,30,0.7036286982509633
0.5,35,0.6925264711714427
1.0,15,0.6402247937468579
1.0,20,0.44066672755892305
1.0,25,0.5978479477988703
1.0,30,0.6445311969659563
1.0,35,0.6989888317682059
1.5,15,0.49508531269440137
1.5,20,0.44925686748245214
1.5,25,0.5214187267297312
1.5,30,0.6574086783256071
1.5,35,0.7041146148148321
2.0,15,0.3170027492421899
2.0,20,0.40397572463884235
2.0,25,0.7142301312759335
2.0,30,0.5765409605088874
2.0,35,0.7723440434686278
