Portfolio,Cost_bps,Net_Sharpe
AOBL-SOS (Proposed),0,1.03
AOBL-SOS (Proposed),5,1.028
AOBL-SOS (Proposed),10,1.027
AOBL-SOS (Proposed),15,1.025
Max Sharpe (Markowitz),0,0.614
Max Sharpe (Markowitz),5,0.612
Max Sharpe (Markowitz),10,0.611
Max Sharpe (Markowitz),15,0.609
SOS (Baseline),0,0.679
SOS (Baseline),5,0.677
SOS (Baseline),10,0.676
SOS (Baseline),15,0.674
Risk Parity (Inv-Vol),0,0.133
Risk Parity (Inv-Vol),5,0.131
Risk Parity (Inv-Vol),10,0.129
Risk Parity (Inv-Vol),15,0.127
Min Variance,0,0.089
Min Variance,5,0.087
Min Variance,10,0.085
Min Variance,15,0.083
Equal Weight (1/N),0,0.018
Equal Weight (1/N),5,0.016
Equal Weight (1/N),10,0.014
Equal Weight (1/N),15,0.012
